gene_callers_id	source	accession	function	e_value
g4786.t1	KeggGhostKoala	K00012	 UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0
g12390.t1	KeggGhostKoala	K00012	 UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0
g16501.t1	KeggGhostKoala	K00012	 UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0
g23085.t1	KeggGhostKoala	K00013	 hisD; histidinol dehydrogenase [EC:1.1.1.23]	0
g36097.t1	KeggGhostKoala	K00013	 hisD; histidinol dehydrogenase [EC:1.1.1.23]	0
g7722.t1	KeggGhostKoala	K00016	 LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	0
g7724.t1	KeggGhostKoala	K00016	 LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	0
g7725.t1	KeggGhostKoala	K00016	 LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	0
g7980.t1	KeggGhostKoala	K00016	 LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	0
g31768.t1	KeggGhostKoala	K00016	 LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	0
g31768.t2	KeggGhostKoala	K00016	 LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	0
g14120.t1	KeggGhostKoala	K00020	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0
g25523.t1	KeggGhostKoala	K00020	 mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	0
g13909.t1	KeggGhostKoala	K00021	 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0
g15814.t1	KeggGhostKoala	K00021	 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0
g17637.t1	KeggGhostKoala	K00021	 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0
g26207.t1	KeggGhostKoala	K00021	 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0
g31026.t1	KeggGhostKoala	K00021	 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0
g33894.t1	KeggGhostKoala	K00021	 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0
g36090.t1	KeggGhostKoala	K00021	 HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	0
g2747.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g3846.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g19624.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g19625.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g19626.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g32888.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g32889.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g40921.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g41493.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g41494.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g42938.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g42938.t2	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g43383.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g44041.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g44259.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g44260.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g50232.t1	KeggGhostKoala	K00025	 MDH1; malate dehydrogenase [EC:1.1.1.37]	0
g17350.t1	KeggGhostKoala	K00026	 MDH2; malate dehydrogenase [EC:1.1.1.37]	0
g26317.t1	KeggGhostKoala	K00026	 MDH2; malate dehydrogenase [EC:1.1.1.37]	0
g38200.t1	KeggGhostKoala	K00026	 MDH2; malate dehydrogenase [EC:1.1.1.37]	0
g49959.t1	KeggGhostKoala	K00026	 MDH2; malate dehydrogenase [EC:1.1.1.37]	0
g4966.t1	KeggGhostKoala	K00028	 E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	0
g8200.t1	KeggGhostKoala	K00028	 E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	0
g2226.t1	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
g10303.t1	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
g11426.t1	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
g23917.t1	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
g24568.t1	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
g34377.t1	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
g36491.t1	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
g39461.t1	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
g45485.t1	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
g46615.t1	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
g2052.t1	KeggGhostKoala	K00030	 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0
g18841.t1	KeggGhostKoala	K00030	 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0
g20149.t1	KeggGhostKoala	K00030	 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0
g23784.t1	KeggGhostKoala	K00030	 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0
g23786.t1	KeggGhostKoala	K00030	 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0
g45973.t1	KeggGhostKoala	K00030	 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0
g46064.t1	KeggGhostKoala	K00030	 IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	0
g24723.t1	KeggGhostKoala	K00031	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	0
g35538.t1	KeggGhostKoala	K00031	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	0
g43917.t1	KeggGhostKoala	K00031	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	0
g7777.t1	KeggGhostKoala	K00033	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0
g7778.t1	KeggGhostKoala	K00033	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0
g21247.t1	KeggGhostKoala	K00033	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0
g28340.t1	KeggGhostKoala	K00033	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0
g28835.t1	KeggGhostKoala	K00033	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0
g28835.t2	KeggGhostKoala	K00033	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0
g50631.t1	KeggGhostKoala	K00033	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0
g3032.t1	KeggGhostKoala	K00036	 G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0
g10665.t1	KeggGhostKoala	K00036	 G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0
g32534.t1	KeggGhostKoala	K00036	 G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0
g39685.t1	KeggGhostKoala	K00036	 G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0
g49586.t1	KeggGhostKoala	K00036	 G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0
g22864.t1	KeggGhostKoala	K00051	 E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]	0
g14617.t1	KeggGhostKoala	K00052	 leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	0
g37671.t1	KeggGhostKoala	K00052	 leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	0
g49848.t1	KeggGhostKoala	K00053	 ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	0
g21682.t1	KeggGhostKoala	K00058	 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0
g22574.t1	KeggGhostKoala	K00058	 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0
g22574.t2	KeggGhostKoala	K00058	 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0
g29367.t1	KeggGhostKoala	K00058	 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0
g32687.t1	KeggGhostKoala	K00058	 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0
g32687.t2	KeggGhostKoala	K00058	 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0
g41013.t1	KeggGhostKoala	K00058	 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0
g271.t1	KeggGhostKoala	K00059	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0
g271.t2	KeggGhostKoala	K00059	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0
g49263.t1	KeggGhostKoala	K00059	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0
g49843.t1	KeggGhostKoala	K00059	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0
g49984.t1	KeggGhostKoala	K00059	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0
g49986.t1	KeggGhostKoala	K00059	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0
g50056.t1	KeggGhostKoala	K00059	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0
g7493.t1	KeggGhostKoala	K00074	 paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	0
g2185.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g2186.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g2187.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g2188.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g2189.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g2190.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g2192.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g8043.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g8044.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g8047.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g8445.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g9978.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g9979.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g9980.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g18844.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g18850.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g25138.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g25139.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g25141.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g26457.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g26936.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g26937.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g26938.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g38006.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g39379.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g39380.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g39380.t2	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g39795.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g40403.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g40403.t2	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g43135.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g43891.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g43892.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g43893.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g43894.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g44258.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g44363.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g44364.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g46577.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g48323.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g49444.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g50280.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g50338.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g50435.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g50499.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g50620.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g50717.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g50849.t1	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g50849.t2	KeggGhostKoala	K00083	 E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	0
g4513.t1	KeggGhostKoala	K00088	 IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	0
g31963.t1	KeggGhostKoala	K00088	 IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	0
g38795.t1	KeggGhostKoala	K00088	 IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	0
g2781.t1	KeggGhostKoala	K00099	 dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	0
g29039.t1	KeggGhostKoala	K00102	 LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	0
g2565.t1	KeggGhostKoala	K00103	 GULO; L-gulonolactone oxidase [EC:1.1.3.8]	0
g5000.t1	KeggGhostKoala	K00103	 GULO; L-gulonolactone oxidase [EC:1.1.3.8]	0
g5001.t1	KeggGhostKoala	K00103	 GULO; L-gulonolactone oxidase [EC:1.1.3.8]	0
g5003.t1	KeggGhostKoala	K00103	 GULO; L-gulonolactone oxidase [EC:1.1.3.8]	0
g44985.t1	KeggGhostKoala	K00103	 GULO; L-gulonolactone oxidase [EC:1.1.3.8]	0
g19242.t1	KeggGhostKoala	K00106	 XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	0
g28351.t1	KeggGhostKoala	K00106	 XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	0
g28352.t1	KeggGhostKoala	K00106	 XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	0
g28353.t1	KeggGhostKoala	K00106	 XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	0
g32061.t1	KeggGhostKoala	K00106	 XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	0
g26790.t1	KeggGhostKoala	K00111	 glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	0
g2623.t1	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g2625.t1	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g9665.t1	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g9665.t2	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g18202.t1	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g18202.t2	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g18204.t1	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g28603.t1	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g39081.t1	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g39082.t1	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g43111.t1	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g49077.t1	KeggGhostKoala	K00121	 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0
g7074.t1	KeggGhostKoala	K00122	 FDH; formate dehydrogenase [EC:1.17.1.9]	0
g7074.t2	KeggGhostKoala	K00122	 FDH; formate dehydrogenase [EC:1.17.1.9]	0
g3193.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
g6478.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
g8554.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
g14998.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
g17499.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
g21429.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
g24737.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
g26597.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
g29118.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
g31823.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
g38676.t1	KeggGhostKoala	K00128	 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	0
