"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","pfam","GO","KEGG","KEGG.function","Ppe_ID","Evalue","Best.hit.arabi.name","arabi.symbol","arabi.defline"
"23","Cm_g14792",18.9497823127722,3.01323780684753,0.401622903163584,5.01275647128005,5.36557872871974e-07,8.85404327406393e-05,"Peptidase S10, serine carboxypeptidase","GO:0004185|GO:0006508",NA,NA,"Prupe.8G147500",1.65e-179,"AT1G73300.1","scpl2","serine carboxypeptidase-like 2"
"24","Cm_g14793",9.55844096771488,3.14779067492737,0.531569814706127,4.04046771563722,5.33447083861361e-05,0.00461781528906544,"Peptidase S10, serine carboxypeptidase","GO:0004185|GO:0006508",NA,NA,"Prupe.8G147500",5.25e-162,"AT1G73300.1","scpl2","serine carboxypeptidase-like 2"
"25","Cm_g14793",9.55844096771488,3.14779067492737,0.531569814706127,4.04046771563722,5.33447083861361e-05,0.00461781528906544,"Peptidase S10, serine carboxypeptidase","GO:0004185|GO:0006508",NA,NA,"Prupe.8G147500",5.25e-162,"AT1G73280.1","scpl3","serine carboxypeptidase-like 3"
"26","Cm_g15611",5.69434787147002,3.07142395627427,0.58031761605522,3.56946592515152,0.000357709739264029,0.0224969334729076,"EamA domain","GO:0016020|GO:0016021",NA,NA,"Prupe.5G068400",2.81e-177,"AT5G47470.1","","Nodulin MtN21 /EamA-like transporter family protein"
"27","Cm_g15981",8.07790925755745,3.47619354150628,0.553242440765087,4.47578377769052,7.61315033151852e-06,0.000893360896124079,"S-adenosylmethionine decarboxylase","GO:0004014|GO:0006597|GO:0008295",NA,NA,"Prupe.1G299500",1.42e-131,"AT3G25570.2","","Adenosylmethionine decarboxylase family protein"
"28","Cm_g16121",108.650262776585,-3.56530724662104,0.376250946125504,-6.81807520495999,9.22683415909867e-12,6.49630637028274e-09,"Sieve element occlusion, N-terminal","",NA,NA,"Prupe.1G028400",0,"AT3G01680.1","",""
"29","Cm_g16349",5.60633172040393,3.99143738315838,0.717489210719024,4.16931340355703,3.05518631068921e-05,0.00280572370671206,NA,NA,NA,NA,"Prupe.1G377300",3.81e-153,"AT4G39230.1","","NmrA-like negative transcriptional regulator family protein"
"30","Cm_g16530",3.43743806658276,4.35799531667458,0.842812913159889,3.98427131839346,6.76875030951968e-05,0.00549882861683364,NA,NA,NA,NA,"Prupe.1G505200",0,"AT1G05680.1","UGT74E2","Uridine diphosphate glycosyltransferase 74E2"
"31","Cm_g16821",18.3779810398541,3.31439369887569,0.480891579905727,4.81271412431343,1.48894204640711e-06,0.000231245837530963,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Cm_g16858",100.572360250836,2.78949600920423,0.273145188453423,6.55144620828413,5.6982514060783e-11,3.53995488821135e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Cm_g16883",11.7585294424019,4.42739348515345,0.579833763654404,5.91099328806293,3.40050890889476e-09,1.19709248622792e-06,"NADP-dependent oxidoreductase domain","",NA,NA,"Prupe.6G141300",0,"AT1G60710.1","ATB2","NAD(P)-linked oxidoreductase superfamily protein"
"34","Cm_g16887",7.39384354826011,7.65452938872385,0.858170864261728,7.75431754426742,8.88198239110469e-15,1.17253270040571e-11,"NADP-dependent oxidoreductase domain","",NA,NA,"Prupe.6G141300",0,"AT1G60710.1","ATB2","NAD(P)-linked oxidoreductase superfamily protein"
"35","Cm_g16922",22.7430121974035,2.39200880787693,0.331904487005068,4.19400418607679,2.7407291987681e-05,0.00259871821255612,NA,NA,NA,NA,"Prupe.4G058300",0,"AT5G01320.1","","Thiamine pyrophosphate dependent pyruvate decarboxylase family protein"
"36","Cm_g17327",52.9361546743289,-2.39806432780863,0.370944601887966,-3.76893024104682,0.000163948695785191,0.011699068758023,NA,NA,NA,NA,"Prupe.1G377300",0,"AT4G39230.1","","NmrA-like negative transcriptional regulator family protein"
"37","Cm_g1784",2.12290703429562,5.85792875051111,1.14599077259073,4.23906445557921,2.24453212477082e-05,0.00215495488815496,NA,NA,NA,NA,"Prupe.8G110100",0,"AT5G42650.1","AOS,CYP74A,DDE2","allene oxide synthase"
"38","Cm_g18084",5.27110249083105,4.35593062468932,0.691674376554402,4.85189380790278,1.22288099518248e-06,0.000198689941386494,"Peptidase S10, serine carboxypeptidase","GO:0004185|GO:0006508",NA,NA,"Prupe.8G147500",1.65e-159,"AT1G73280.1","scpl3","serine carboxypeptidase-like 3"
"39","Cm_g18084",5.27110249083105,4.35593062468932,0.691674376554402,4.85189380790278,1.22288099518248e-06,0.000198689941386494,"Peptidase S10, serine carboxypeptidase","GO:0004185|GO:0006508",NA,NA,"Prupe.8G147500",1.65e-159,"AT1G73300.1","scpl2","serine carboxypeptidase-like 2"
"40","Cm_g18087",15.8088819868695,2.93101683034546,0.476704702157351,4.05076103006023,5.10513241985318e-05,0.00453069777193861,"Peptidase S10, serine carboxypeptidase","GO:0004185|GO:0006508",NA,NA,"Prupe.8G147500",5.27e-161,"AT1G73280.1","scpl3","serine carboxypeptidase-like 3"
"41","Cm_g18087",15.8088819868695,2.93101683034546,0.476704702157351,4.05076103006023,5.10513241985318e-05,0.00453069777193861,"Peptidase S10, serine carboxypeptidase","GO:0004185|GO:0006508",NA,NA,"Prupe.8G147500",5.27e-161,"AT1G73300.1","scpl2","serine carboxypeptidase-like 2"
"42","Cm_g18207",5.05992619666461,5.61559449810114,0.826072247195485,5.58739809232314,2.30496934421579e-08,6.08569531106573e-06,NA,NA,"K01188"," E3.2.1.21; beta-glucosidase [EC:3.2.1.21]","Prupe.5G153200",2.05e-156,"AT5G44640.1","BGLU13","beta glucosidase 13"
"43","Cm_g18400",25.1599244469428,2.81835943690104,0.453118117582138,4.01299212356351,5.99539145807982e-05,0.00506538633510248,NA,NA,NA,NA,"Prupe.2G281100",2.68e-69,"AT5G62300.1","","Ribosomal protein S10p/S20e family protein"
"44","Cm_g18660",40.4182633879204,2.28817754389559,0.319304332791399,4.03432528658217,5.4759416176931e-05,0.00466382414713361,"UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758",NA,NA,"Prupe.8G135700",0,"AT4G15480.1","UGT84A1","UDP-Glycosyltransferase superfamily protein"
"45","Cm_g18663",4.4815502143026,5.24580251691967,0.914832576026634,4.64107053922407,3.46608769237109e-06,0.000486344966608645,"Aminoglycoside phosphotransferase","",NA,NA,"Prupe.8G136000",0,"AT1G49820.1","ATMTK,MTK","S-methyl-5-thioribose kinase"
"46","Cm_g19036",4.93888208121119,5.46296398154813,0.836647243964278,5.33434373177554,9.58907264470709e-08,2.06673869797452e-05,NA,NA,NA,NA,"Prupe.2G320300",4.63e-125,"AT5G24580.1","","Heavy metal transport/detoxification superfamily protein "
"47","Cm_g19128",1.862401121124,5.66906501255296,1.22069824876658,3.82491333732205,0.000130818095644613,0.00952806833174317,NA,NA,NA,NA,"Prupe.2G141000",0,"AT2G45220.1","","Plant invertase/pectin methylesterase inhibitor superfamily"
"48","Cm_g19152",2.01304846341789,4.93240962945627,1.15370271608191,3.40851206696569,0.000653181962436362,0.0371894946210465,"UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758",NA,NA,"Prupe.3G189300",0,"AT1G22400.1","ATUGT85A1,UGT85A1","UDP-Glycosyltransferase superfamily protein"
"49","Cm_g19602",1.70243781961945,5.53302329174812,1.28701369220851,3.52212514846636,0.000428101994923627,0.02598382280683,NA,NA,NA,NA,"Prupe.8G171000",2.2e-174,"AT4G35160.1","","O-methyltransferase family protein"
"50","Cm_g19676",30.4040464293057,3.48254801256152,0.314893160498409,7.88377876684324,3.17626430863636e-15,5.59075456058477e-12,"3-dehydroquinate dehydratase type I","GO:0003855","K13832"," aroDE, DHQ-SDH; 3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]","Prupe.6G334000",0,"AT3G06350.1","EMB3004,MEE32","dehydroquinate dehydratase, putative / shikimate dehydrogenase, putative"
"51","Cm_g19678",30.6653048886116,3.35925940649969,0.367748093688992,6.41542253240051,1.40432812347374e-10,7.66259002034192e-08,"Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase","","K13832"," aroDE, DHQ-SDH; 3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]","Prupe.6G334000",0,"AT3G06350.1","EMB3004,MEE32","dehydroquinate dehydratase, putative / shikimate dehydrogenase, putative"
"52","Cm_g19787",3.88634112721855,3.29274416040358,0.692931795133379,3.30875877901124,0.000937105381140509,0.0494838496511246,NA,NA,NA,NA,"Prupe.5G084700",3.94e-102,"AT2G45550.1","CYP76C4","cytochrome P450, family 76, subfamily C, polypeptide 4"
"53","Cm_g20114",2.17866797053153,5.88435853059603,1.13062514616523,4.320051209866,1.55992996725591e-05,0.00162011768143186,NA,NA,NA,NA,"Prupe.4G099500",0,"AT1G30700.1","","FAD-binding Berberine family protein"
"54","Cm_g20399",14.114519257236,6.84907797009286,1.63869683585755,3.56934720450106,0.000357871870414589,0.0224969334729076,"Glycoside hydrolase family 18, catalytic domain","GO:0005975","K01183"," E3.2.1.14; chitinase [EC:3.2.1.14]","Prupe.7G259000",6.42e-170,"AT4G19810.1","","Glycosyl hydrolase family protein with chitinase insertion domain"
"55","Cm_g20543",3.25938325763154,5.29720503164585,0.97020836989078,4.42915683373212,9.46022117346421e-06,0.00106046062735744,NA,NA,"K06892"," F6H1; feruloyl-CoA ortho-hydroxylase [EC:1.14.11.-]","Prupe.6G006000",1.71e-172,"AT3G13610.1","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"56","Cm_g20554",7.76750249118632,5.79860234421696,0.743796432350892,6.45149954410265,1.10748783446802e-10,6.49787723323155e-08,"Potassium transporter","GO:0015079|GO:0016020|GO:0071805","K03549"," kup; KUP system potassium uptake protein","Prupe.8G256200",0,"AT4G13420.1","ATHAK5,HAK5","high affinity K+ transporter 5"
"57","Cm_g20903",7.53950052616167,-5.97320305276485,1.49888691722537,-3.31793078958276,0.000906869522570374,0.0481278845621393,NA,NA,NA,NA,"Prupe.1G237100",2.06e-155,"AT1G24430.1","","HXXXD-type acyl-transferase family protein"
"58","Cm_g21146",19.3418632122014,7.90229607673533,1.17442527703897,5.87716920921337,4.17341558410255e-09,1.33561945405173e-06,NA,NA,NA,NA,"Prupe.8G114200",3.32e-180,"AT3G19000.1","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"59","Cm_g21150",14.3988647629883,7.81622664225317,1.47627779940913,4.61717072828795,3.89007222564293e-06,0.000526705804807885,NA,NA,NA,NA,"Prupe.8G114200",0,"AT3G19000.1","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"60","Cm_g21169",5.13395953376901,3.59203786104028,0.676097237883421,3.83382406524078,0.000126166395657426,0.00931778534642014,NA,NA,NA,NA,"Prupe.5G004800",1.99e-160,"AT2G33590.1","","NAD(P)-binding Rossmann-fold superfamily protein"
"61","Cm_g21191",21.3349994663717,5.64112715354135,0.525398676833067,8.83353414880404,1.01419354252689e-18,3.57029933420884e-15,"Glutathione S-transferase, C-terminal","",NA,NA,"Prupe.6G265000",1.22e-89,"AT3G09270.1","ATGSTU8,GSTU8","glutathione S-transferase TAU 8"
"62","Cm_g2140",3.52845724460235,3.9840323570683,0.894776722709321,3.33494634061653,0.000853158605728058,0.045970449158643,"Lateral organ boundaries, LOB","",NA,NA,"Prupe.6G093900",3.4e-97,"AT1G07900.1","LBD1","LOB domain-containing protein 1"
"63","Cm_g21637",8.86032551073788,3.26131600341704,0.625302454679244,3.61635555161382,0.00029877992034336,0.0191237256893711,NA,NA,"K01193"," INV, sacA; beta-fructofuranosidase [EC:3.2.1.26]","Prupe.3G009500",0,"AT3G13790.1","ATBFRUCT1,ATCWINV1","Glycosyl hydrolases family 32 protein"
"64","Cm_g21660",27.6403243491508,4.1778159135453,0.418388616074731,7.59536897384822,3.06916644543755e-14,3.58111290804306e-11,NA,NA,NA,NA,"Prupe.4G226000",5.98e-12,"","",""
"65","Cm_g21660",27.6403243491508,4.1778159135453,0.418388616074731,7.59536897384822,3.06916644543755e-14,3.58111290804306e-11,NA,NA,NA,NA,"Prupe.4G225700",2.05e-15,"","",""
"66","Cm_g21726",17.9019617298393,2.54351091310937,0.400492531675106,3.85403170104934,0.000116188541462923,0.00876476561707094,"Cytochrome P450","GO:0005506|GO:0016705|GO:0020037|GO:0055114",NA,NA,"Prupe.1G002500",0,"AT5G36110.1","CYP716A1","cytochrome P450, family 716, subfamily A, polypeptide 1"
"67","Cm_g21888",3.90392393909586,5.5696724923821,0.902526652840203,5.06319949444328,4.12278030216433e-07,7.13781684773074e-05,NA,NA,NA,NA,"Prupe.5G074800",7.67e-166,"AT1G62620.1","","Flavin-binding monooxygenase family protein"
"68","Cm_g21950",9.18789363311186,5.87782799604431,0.703110655216391,6.93749690728708,3.9910805861568e-12,3.01070014788585e-09,NA,NA,"K13034"," ATCYSC1; L-3-cyanoalanine synthase/ cysteine synthase [EC:2.5.1.47 4.4.1.9]","Prupe.2G172800",0,"AT3G61440.1","ARATH;BSAS3;1,ATCYSC1,CYSC1","cysteine synthase C1"
"69","Cm_g22172",22.7994359105097,-7.13266957896063,1.51365870122552,-4.05155374457621,5.08786356985765e-05,0.00453069777193861,NA,NA,NA,NA,"Prupe.2G008000",0,"AT5G48020.1","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"70","Cm_g22174",27.7775455768937,-7.69404355014354,1.46970054555608,-4.55469896257729,5.2460651015481e-06,0.000659567780207732,NA,NA,NA,NA,"Prupe.2G008000",0,"AT5G48020.1","","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"71","Cm_g22365",47.7807715130027,2.647004723601,0.313982653348632,5.24552775777787,1.55835594544828e-07,3.10524474337344e-05,NA,NA,NA,NA,"Prupe.6G191200",0,"AT1G22410.1","","Class-II DAHP synthetase family protein"
"72","Cm_g22365",47.7807715130027,2.647004723601,0.313982653348632,5.24552775777787,1.55835594544828e-07,3.10524474337344e-05,NA,NA,NA,NA,"Prupe.6G191200",0,"AT4G33510.2","DHS2","3-deoxy-d-arabino-heptulosonate 7-phosphate synthase"
"73","Cm_g22549",41.2841740965315,2.48454928910629,0.403312975745761,3.68088650349328,0.00023242445252544,0.0158363525362657,NA,NA,NA,NA,"Prupe.8G128100",9.51e-175,"AT4G34050.1","CCoAOMT1","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"74","Cm_g23691",7.19101316356414,4.36074131481637,0.635291257412913,5.29007959042639,1.2226314429551e-07,2.53180601353897e-05,"Glycoside hydrolase, family 5","GO:0004553|GO:0005975",NA,NA,"Prupe.1G512300",0,"","",""
"75","Cm_g23752",3.17956970138841,6.39055561703914,0.989363655140585,5.44850782523759,5.07941569906837e-08,1.19208242661914e-05,"UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","K13691"," SGT1; pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-]","Prupe.7G267900",0,"AT2G43820.1","ATSAGT1,GT,SAGT1,SGT1,UGT74F2","UDP-glucosyltransferase 74F2"
"76","Cm_g23896",27.1491616951781,2.49356188534055,0.375508811861104,3.97743498464958,6.96626613354378e-05,0.00559784973743615,NA,NA,NA,NA,"Prupe.8G210700",5.09e-118,"AT3G09270.1","ATGSTU8,GSTU8","glutathione S-transferase TAU 8"
"77","Cm_g24177",10.5928505987849,-5.11836924029455,1.19402635410674,-3.44914433934377,0.000562366011538632,0.0328129693251906,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Cm_g24221",1.80981952546771,5.18991592329549,1.20309695594285,3.482608697993,0.000496553588643998,0.029461249717243,NA,NA,NA,NA,"Prupe.4G146200",5.31e-124,"AT1G78380.1","ATGSTU19,GST8,GSTU19","glutathione S-transferase TAU 19"
"79","Cm_g24475",13.4873253598683,2.99323451476724,0.431567227877112,4.61859563473345,3.86345909984832e-06,0.000526705804807885,"NAD-dependent epimerase/dehydratase","GO:0003824|GO:0050662",NA,NA,"Prupe.4G253700",0,"AT1G51410.1","","NAD(P)-binding Rossmann-fold superfamily protein"
"80","Cm_g2468",14.0695057585669,6.65320450466221,1.18815334792177,4.75797548738163,1.95544237370032e-06,0.000295020384409273,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Cm_g2469",26.0548375295682,6.71303036623065,1.26715546090832,4.50854732704656,6.52730097275479e-06,0.000790190026594566,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Cm_g24734",10.6377730604319,3.70908784883113,0.608628450615176,4.45113573986378,8.54173255011249e-06,0.000991310301777341,NA,NA,NA,NA,"Prupe.3G076500",0,"AT1G15520.1","ABCG40,ATABCG40,ATPDR12,PDR12","pleiotropic drug resistance 12"
"83","Cm_g2475",107.151359536459,6.97844361847738,0.437068372615906,13.6785088856823,1.36462394013075e-42,1.44117934317208e-38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Cm_g2477",4.17315192504213,6.82440140953039,0.928492958081967,6.2729623944183,3.54242489396482e-10,1.55881455438177e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Cm_g2544",15.7291368055218,2.71314712511358,0.429657504857665,3.98723891877811,6.68467009171447e-05,0.00547262022004624,NA,NA,"K03327"," TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family","Prupe.1G384800",0,"AT1G47530.1","","MATE efflux family protein"
"86","Cm_g25823",3.40378080901633,5.47247853851171,0.981475186731848,4.55689415175572,5.19155694970234e-06,0.000659567780207732,NA,NA,NA,NA,"Prupe.6G223400",0,"AT5G67400.1","RHS19","root hair specific 19"
"87","Cm_g25871",1.93537558318593,5.25821227669017,1.1694106975247,3.64133172862498,0.000271231380075134,0.0178780288147204,NA,NA,"K13260"," CYP81E1_7; isoflavone/4-methoxyisoflavone 2-hydroxylase [EC:1.14.14.90 1.14.14.89]","Prupe.6G227100",0,"AT4G37370.1","CYP81D8","cytochrome P450, family 81, subfamily D, polypeptide 8"
"88","Cm_g25953",15.3055319833532,-6.21118333059376,1.48985921051754,-3.49776897964978,0.000469167343250608,0.0281527063185777,NA,NA,"K22279"," VH; vicianin beta-glucosidase [EC:3.2.1.119]","Prupe.2G005100",0,"AT2G44480.1","BGLU17","beta glucosidase 17"
"89","Cm_g26070",5.81118293468601,4.29537207451012,0.744319428415478,4.42736270034678,9.53922541416125e-06,0.00106046062735744,"Glycoside hydrolase family 31","GO:0004553|GO:0005975",NA,NA,"Prupe.7G033900",0,"AT5G63840.1","PSL5,RSW3","Glycosyl hydrolases family 31  protein"
"90","Cm_g26070",5.81118293468601,4.29537207451012,0.744319428415478,4.42736270034678,9.53922541416125e-06,0.00106046062735744,"Glycoside hydrolase family 31","GO:0004553|GO:0005975",NA,NA,"Prupe.7G033900",0,"AT3G45940.1","","Glycosyl hydrolases family 31  protein"
"91","Cm_g26070",5.81118293468601,4.29537207451012,0.744319428415478,4.42736270034678,9.53922541416125e-06,0.00106046062735744,"Glycoside hydrolase family 31","GO:0004553|GO:0005975",NA,NA,"Prupe.7G033900",0,"","",""
"92","Cm_g26111",4.29837419800657,4.4229861268436,0.786793030626499,4.35055471210513,1.35793566280342e-05,0.00143411585348669,"FAD-binding domain","GO:0071949",NA,NA,"Prupe.8G167700",0,"AT5G05320.1","","FAD/NAD(P)-binding oxidoreductase family protein"
"93","Cm_g26164",29.7171055743228,-3.12544938846002,0.638632628724748,-3.32812526773681,0.000874325425925446,0.0468718315898408,NA,NA,NA,NA,"Prupe.8G139000",9.06e-09,"AT4G37450.1","AGP18,ATAGP18","arabinogalactan protein  18"
"94","Cm_g26617",47.3866677769379,5.83817997133742,0.856729718928446,5.64726525115619,1.63020208578376e-08,4.53067479683218e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Cm_g26619",11.4506055236833,3.7668047776113,0.509132649910487,5.43434953169424,5.49966826130724e-08,1.26265209799273e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Cm_g2669",6.06724587545953,5.62985307595068,0.785044001981326,5.89757142818194,3.6889059828543e-09,1.21745425265388e-06,"Glycoside hydrolase family 9","GO:0004553|GO:0005975","K01179"," E3.2.1.4; endoglucanase [EC:3.2.1.4]","Prupe.5G131300",0,"AT1G02800.1","ATCEL2,CEL2","cellulase 2"
"97","Cm_g26835",4.65419324463939,4.74280900319405,0.816226786260158,4.58550131678855,4.528984203452e-06,0.000590501261390822,NA,NA,NA,NA,"Prupe.6G343900",2.41e-70,"AT3G04720.1","HEL,PR-4,PR4","pathogenesis-related 4"
"98","Cm_g26841",14.6731443197112,2.23393666171317,0.365905567204581,3.37228173689763,0.000745481474366317,0.0414369992146456,NA,NA,NA,NA,"Prupe.4G062200",0,"AT1G09850.1","XBCP3","xylem bark cysteine peptidase 3"
"99","Cm_g27186",2.3527308215392,4.69928957353482,1.01903970097284,3.63017218073373,0.000283232219918481,0.0184642930528338,NA,NA,NA,NA,"Prupe.7G197000",8.24e-20,"AT5G20635.1","",""
"100","Cm_g27186",2.3527308215392,4.69928957353482,1.01903970097284,3.63017218073373,0.000283232219918481,0.0184642930528338,NA,NA,NA,NA,"Prupe.7G197000",8.24e-20,"","",""
"101","Cm_g2743",8.14870482291312,4.08079248631971,0.649778287651965,4.74129798558281,2.12353330471983e-06,0.000315868101847129,NA,NA,NA,NA,"Prupe.1G039900",6.69e-105,"AT2G29420.1","ATGSTU7,GST25,GSTU7","glutathione S-transferase tau 7"
